 Harleysville, indpak, Curry Leaf Indian Cuisine, Harleysville, -75.3784446541471,18054, PA,4.5, ws6TIgXXA-5RSHRrMBEktA,20, 40.2667945048635, 12848369
 Schwenksville, tradamerican, Woodside Lodge at Spring Mountain, Schwenksville, -75.4634298,18054, PA,4.0, 8Lr61X3Ri_qaWla1AJ4ikQ,20, 40.2607598, 12848345
 Quakertown, newamerican, Karlton Cafe, Quakertown, -75.3376045,18054, PA,4.0, h5tEpWXExIFwv70QN4wlAA,64, 40.441047, 12848546
 Quakertown, japanese, Teriyaki Chef, Quakertown, -75.3462791070342,18054, PA,5.0, oQQvx1YhCshwTK2k5QEtxA,4, 40.4249158028741, 12848546
 Perkasie, tradamerican, The Perk, Perkasie, -75.2858409,18054, PA,4.5, ol55TE2I5MFbhmRpTHzlVg,71, 40.3644382, 12848381
 Perkasie, pizza, Pomodorino Pizza, Perkasie, -75.2946599,18054, PA,5.0, Rpv5Q2JjfBvljRe46aIlQA,14, 40.3669199, 12848381
 Harleysville, italian, Villa Vito, Harleysville, -75.387223,18054, PA,4.0, tpF41TKfLyyQSR8XJ6f_QA,22, 40.278065, 12848369
 Quakertown, tradamerican, Mccooles At The Historic Red Lion Inn, Quakertown, -75.3525467,18054, PA,3.5, rccCuQiQJMShPF53AH492A,123, 40.4424464, 12848544
 Sellersville, italian, Fasegeo's, Sellersville, -75.3345255,18054, PA,4.0, WRxBA6HetwyTVtmmlo5nuQ,10, 40.3663051, 12848375
 Harleysville, pizza, Brazzo Italian Cuisine, Harleysville, -75.3996296,18054, PA,3.5, -HoCrhW2f7610NWGDemnjw,34, 40.2890489, 12848369
 Harleysville, newamerican, Mainland Inn, Harleysville, -75.3565120697021,18054, PA,4.0, h7d_Gl_hX7pa37kknrA-eA,51, 40.2554246681221, 12848369
 Telford, restaurants, J's Steaks \u0026 Subs, Telford, -75.3295391,18054, PA,5.0, -CJaGFoVnofRPKwl4NJaLg,7, 40.325998, 12848374
 Quakertown, comfortfood, Kathy's Country Kitchen, Quakertown, -75.3703814,18054, PA,4.0, I9EHRunsHPUgOHUaNyFE0w,44, 40.469436, 12848545
 Souderton, mexican, La Herradura Bistro Family Restaurant, Souderton, -75.3218702,18054, PA,4.0, NNGQazUXxGTYn00QlRnHfg,18, 40.3082649, 12848374
 Quakertown, newamerican, The West End, Quakertown, -75.3697177,18054, PA,4.0, 69xyQblKOm1KM0J1dzeQ5g,28, 40.4632577, 12848545
 Bally, newamerican, Bally Hotel, Bally, -75.5859569,18054, PA,4.0, mF2niz77YfR3nE_dqkqZNA,18, 40.4023909, 12848512
 Sumneytown, pizza, Dolce Vita, Sumneytown, -75.4568743,18054, PA,4.5, 2bAMp7RVhArwR2bHTFlSiQ,7, 40.3311916, 12848348
 Sellersville, tradamerican, J.T. Bankers, Sellersville, -75.3054198,18054, PA,4.0, 19EuqHznljFunkULhLnTJg,12, 40.3533914, 12848375
 Skippack Village, delis, Skippack Village Italian Market, Skippack Village, -75.4053175,18054, PA,4.5, 9A8AuBfUNyWdQRTRjIlpzA,46, 40.2283079, 12848346
 Skippack, lebanese, Daraya Restaurant, Skippack, -75.4042913,18054, PA,5.0, t3e9gRPMSRqVlvmK3VJQSw,25, 40.2276643, 12848346
 Harleysville, chinese, JJ Asian Cuisine, Harleysville, -75.3956108,18054, PA,4.0, Z1BXJmTyQKhJ-C4lCBpAZQ,24, 40.2851683, 12848369
 Sellersville, cafes, Stella's House Blend Cafe, Sellersville, -75.3110586,18054, PA,4.0, xFdZbv00SJwv5YSgwAGwqQ,41, 40.3598094, 12848375
 Quakertown, mexican, Tijuana Tacos V, Quakertown, -75.3354406356812,18054, PA,4.0, kMiriyUO_EuYm6OB53gfIg,62, 40.4410437083238, 12848546
 Zieglerville, tradamerican, Northside Bar \u0026 Restaurant, Zieglerville, -75.478146,18054, PA,2.5, HNFEAo1rBpZXA1O-d5yMrg,8, 40.27613, 12848345
 Limerick, bars, Craft Ale House, Limerick, -75.5454944951211,18054, PA,4.0, f0-cC5OUb-O-HHPvrs5Ang,179, 40.241906035506, 12848338
 Skippack, mexican, Carisma Restaurante, Skippack, -75.4008201,18054, PA,4.0, 77drWZJuh-a1osUOrd7oQw,49, 40.2236496, 12848346
 Gilbertsville, hotdogs, Our Place Restaurant, Gilbertsville, -75.5826151,18054, PA,3.5, v5ZoTXPY_2es8GfuVDq5dw,13, 40.2979511, 12848337
 Quakertown, breweries, The Proper Brewing Company, Quakertown, -75.3355692,18054, PA,3.5, FQ60J2xokDipmenBDgWjjg,37, 40.4414717, 12848546
 Souderton, mexican, El Cactus, Souderton, -75.3101124,18054, PA,3.5, SOxWs2-rjrQIfqib7tRqpg,33, 40.3158464, 12848374
 Telford, mexican, Los Gemelos Family Restaurant, Telford, -75.3277229145169,18054, PA,4.0, A0QbndhHwlqfY0McSy-xQA,10, 40.3195787155086, 12848374
 Kulpsville, pizza, The Mill, Kulpsville, -75.339937,18054, PA,4.0, CHSBxTwdPoedce_wC9Z40A,91, 40.2444859, 12848370
